Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
custom_protocol_boto3,sagemaker_client_invoke_endpoint,92959,0,120,118.53553717230177,57,10769,7.0,371.6184529240023,0.0,120,130,130,130,140,150,160,170,720,2300,11000
,Aggregated,92959,0,120,118.53553717230177,57,10769,7.0,371.6184529240023,0.0,120,130,130,130,140,150,160,170,720,2300,11000
