Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
custom_protocol_boto3,sagemaker_client_invoke_endpoint,13208,0,11,11.213582677165354,10,62,7.0,84.55713871773305,0.0,11,11,12,12,12,13,15,16,22,62,62
,Aggregated,13208,0,11,11.213582677165354,10,62,7.0,84.55713871773305,0.0,11,11,12,12,12,13,15,16,22,62,62
